Ringo Starr ;No No Song ;VC;15;41;4;1;1;4;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;5;5;5;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;In the Neighborhood;;1;4;1;4;1;6m;2m;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;4;1;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Union Square;;1;1;4;4;1;1;4;4;1;1;4;4;1;1;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;4;1;4;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Downtown Train;;1;45;1;45;1;45;1;45;4;5;4;5;6m;5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;4;1;4;2m;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;A little rain;;1;1;4;5;14;1;5;5;14;1;5;5;1;4;1;5;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;1;15;3m;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Cold Cold Ground;;1;6m;1;6m;1;6m;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;6m;6m;1;1;6m;6m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Lucky Day;;1;1;3;6m;2;5;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;2;2;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Come on up to the house;;16m;41;1;6m;16m;41;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6m;16m;41;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Fish & Bird;;15;1;45;1;4;51;4;51;4;51;4;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Lonely Nights;;51;41;51;4;51;41;51;4;51;41;51;4;51;41;51;4;5;5;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;1;1;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Fits Ya Good;;b7;b7;1;1;b7;b7;1;1;b3;b3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;b7;1;b7;1;b7;1;b7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Cuts like a knife;;1;4b7;1;4b7;1;4b7;1;4b7;1;4b7;1;4b7;1;4b7;1;1;5;6m;b7;4;;;;;;;;;;;;;;;;;;;;;1;4b7;1;4b7;1;4b7;1;4b7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;I'm ready;;16m;b7;2m4;1;16m;b7;2m4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;b341;5mb7;b74;1;b341;5mb7;b74;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Heat of the Nigh;;6m;6m;6m;6m;2m;2m;2m;2m;4;5;6m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;6m;4;1;5;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;There Will Never Be Another Tonight;;1;45;1;45;1;45;1;1;1;45;1;45;1;45;1;1;5;5;6m;6m;4;4;5;5;;;;;;;;;;;;;;;;;1;51;4;5;1;51;4;5;6m;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Have You Ever Really Loved a Woman?;;b64m ;5;b3;b7;4mb3;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;5;1;1;2m5;2m5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Cloud Number Nine;;1;1;402m;402m;2m05;2m05;4;1;6m;6m;1;1;6m;6m;4;5;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;1;1;6m;6m;4;4;5;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryan Adams;Inside Out;;1;5;6m;4;1;5;6m;4;2m;1;4;4;2m;1;4;4;2m;1;4;4;2m;5;;;;;;;;;;;;;;;;;;;1;5;6m;45;1;5;6m;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
