Tom Waits;Virginia Avenue;;1m4;1m4;1m4;1m4;4b7;4b7;b3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Little Trip to Heaven;;12m;3m5;12m;3mb3m;2m5;11;2m43;6m;2m5;2m5;12m;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;New coat of paint;;1m4;65;1m4;65;1m4;65;1m4;651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Semi suite;;2m5;2m5;17b7;6;2m5;2m5;17b7;6;2m5;2m5;17b7;6;2m5;2m5;17b7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Fumblin' with the blues;;1m5;1m51m;1mb7b6;5;1mb7b65;1m4;1m5;1m51m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;The piano has been drinking;;1;6m;2m;5;1;6m;2m;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;A Sight For Sore Eyes;;1;1;4;1;1;6m;2m;5;1;1;4;1;1;6m;2m;5;1;1;4;1;1;6m;2m;5;1;1;4;1;1;6m;2m5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Wrong Side of the Road;;1m;4;1m;4;b6;5;b6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Blue Valentine;;4m5;4m5;4m5;1m1;4m5;1m1;4m5;1m1;4m5;1m;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Heartattack and Vine;;1mb3;1mb3;1mb3;5;1mb3;4;1m;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Jersey Girl;;4;4;1;1;5;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;On the Nickel;;4;1;4;1;4;16m;2m;5;4;1;4;1;42;16m;2m5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Cemetery Polka;;1mb6;1mb6;1mb6;5;1mb6;1mb6;1mb65;1m;4mb2;4mb2;4mb2;1;4mb2;4mb2;4mb21;4m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Anywhere I Lay My Head;;15;1;16m;5;2m;5;5;1;4;1;4;2m5;15;14;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Everything You Can Think;;1m;5;1m;5;1m;b7;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Table Top Joe;;1;1;1;1;5;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Barcarolle;;1;1;1;1;4;4;1;1;4;4;1;6m;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Don't Go into That Barn;;1m;1m;1m;1m;4m;4m;1m;1m;5;4m;1m;1m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Waits;Get Lost;;14;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;S.O.S. (Too Bad);;1m;1m;b6;b6;1m;1m;b6;b6;4m;4m;5;5;4m;4m;1m;1m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;You See Me Crying;;1;5;6m5;45;1;53m;6m5;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Draw the Line;;5;5;1;1;5;5;1;1;5;5;1;1;4;5;b7;b7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Critical Mass;;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Chiquita;;1;1;1;1;1;1;1;1;b3;b3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Reefer head woman;;1;4;1;1;4;4;1;1;5;4;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Dude (Looks Like a Lady);;1;4;1;4;1;4;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Young Lust;;1;1;1;4b7;1;1;1;4b7;5;5;1;1;1;4b7;1;1;1;4b7;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Line Up;;1;4;1;1;1;4;1;1;4;4;4;4;1;4;1;1;5;5;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Shame, Shame, Shame;;1;1;1;1;4;4;1;1;4;4;1;1;5;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Eyesight to the Blind;;1;1;1;1;4;4;1;1;2;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;You gotta move;;1;1;4;1;1;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerosmith;Oh yeah;;1;b7;1;b7;1;b7;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Lucky Star;;1mb6b7;b7;1mb6b7;b7;1mb6b7;b7;1mb6b7;b7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Holiday;;b6b7;b71m;b6b7;5mb6;b6b7;b71m;b6b7;5mb6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Physical Attraction;;1m;b6;b7;5;1m;b6;b7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;True blue;;1;1;6m;6m;4;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Keep It Together;;1m;b65;1m;b6b7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Human Nature;;b65;1mb7b6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Swim;;1m;4;1m;4;1m;4;1m;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Ray of light;;14;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Candy Perfume Girl;;1b3;1b3;1b3;1b3;1b3;1b3;1b3;1b3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;The Power of Good-Bye;;1mb6;b3b7;1mb6;b3b7;1mb6;b3b7;b6;5m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Amazing;;1m;4;b3;4;1m;4;b3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Don't Tell Me;;15m;b74;15m;b74;15m;b74;15m;b74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Hollywood;;1mb3;b64m;1mb3;b64m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Love Profusion;;1m;5m;  b7;4;1m;5m;b7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Nothing Fails;;1m;b7;b6;b3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Get Together;;1mb2;b2;b34m;4m;1mb2;b2;b34m;4m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Miles Away;;1m;5m;b7;b6;1m;5m;b7;b6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;She's Not Me;;1m;4m;1m;4m;1m;4m;1m;4m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Incredible;;1;1;5;5;6m;6m;5;5;1;1;5;5;6m;6m;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Beat Goes On;;1m;1m;1m;1m;4m;2d5;1m;1m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madonna;Devil Wouldn't Recognize You;;1mb3;5mb6;1mb3;b7b6;1mb3;5mb6;1mb3;b7b6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
